Freguesia,Year,Month,mean
São Vicente,2020,4,65.973200469705
Estrela,2020,4,74.03774285657065
Lumiar,2020,5,99.51346054588014
Avenidas Novas,2020,5,129.83959397222097
Areeiro,2020,5,130.4458515842144
Beato,2020,5,67.38732419702391
Benfica,2020,5,62.66714935008621
Misericórdia,2020,5,76.00477454872566
Parque das Nações,2020,5,85.56148331735251
Olivais,2020,5,106.07783534305143
Marvila,2020,5,87.05775372074278
Santa Clara,2020,5,78.82023201407966
Alvalade,2020,5,104.48190997249291
Penha de França,2020,5,87.97858785163446
Santo António,2020,5,129.0278519153385
Arroios,2020,5,110.09242838068522
Santa Maria Maior,2020,5,82.9025162438374
Campo de Ourique,2020,5,105.74613927761554
Alcântara,2020,5,60.39264441736945
Ajuda,2020,5,82.96718604409949
Belém,2020,5,60.03997924656454
São Domingos de Benfica,2020,5,97.80763526717274
Campolide,2020,5,110.36246773231407
Carnide,2020,5,98.98649373313515
São Vicente,2020,5,76.81485889238702
Estrela,2020,5,80.44727283620831
Lumiar,2020,6,92.9140096340755
Avenidas Novas,2020,6,114.91642616872485
Areeiro,2020,6,115.10744154710041
Beato,2020,6,57.88295043086376
Benfica,2020,6,59.72595059198972
Misericórdia,2020,6,68.0822797987228
Parque das Nações,2020,6,77.63474360613651
Olivais,2020,6,94.89082282400011
Marvila,2020,6,75.9995330318606
Santa Clara,2020,6,76.5792287425306
Alvalade,2020,6,98.18588916508459
Penha de França,2020,6,76.00258034072266
Santo António,2020,6,117.51816048645208
Arroios,2020,6,100.94466737968976
Santa Maria Maior,2020,6,75.52504717103517
Campo de Ourique,2020,6,94.76712118038837
Alcântara,2020,6,56.03959784011485
Ajuda,2020,6,84.64569112484237
Belém,2020,6,55.57383930254324
São Domingos de Benfica,2020,6,94.08902266073152
Campolide,2020,6,98.94273440375056
Carnide,2020,6,96.09331687662285
São Vicente,2020,6,69.82486886139931
Estrela,2020,6,72.81282054431097
Lumiar,2020,7,102.08280686342835
Avenidas Novas,2020,7,127.08254823724418
Areeiro,2020,7,129.2522146048913
Beato,2020,7,67.55022479455202
Benfica,2020,7,64.9852339997692
Misericórdia,2020,7,71.75519212535133
Parque das Nações,2020,7,85.33435850326411
Olivais,2020,7,111.75861459432757
Marvila,2020,7,90.46341374843158
Santa Clara,2020,7,82.4408493041992
Alvalade,2020,7,105.06861096526207
Penha de França,2020,7,86.43255351079338
Santo António,2020,7,122.22896767921299
Arroios,2020,7,107.58159353330151
Santa Maria Maior,2020,7,79.42420873737774
Campo de Ourique,2020,7,101.13708031049539
Alcântara,2020,7,62.92440142211993
Ajuda,2020,7,87.91949661060693
Belém,2020,7,60.67578153939437
São Domingos de Benfica,2020,7,97.68282816340482
Campolide,2020,7,107.68075298776431
Carnide,2020,7,104.8736153865009
São Vicente,2020,7,77.17040801261786
Estrela,2020,7,81.37553832932882
Lumiar,2020,8,86.11098113508909
Avenidas Novas,2020,8,108.41457358077807
Areeiro,2020,8,112.23405320387621
Beato,2020,8,60.9685217456944
Benfica,2020,8,55.88958321468726
Misericórdia,2020,8,69.30651731868667
Parque das Nações,2020,8,74.47883545228908
Olivais,2020,8,92.85742461414692
Marvila,2020,8,77.82908305105536
Santa Clara,2020,8,68.79164784370076
Alvalade,2020,8,91.97914324451597
Penha de França,2020,8,78.43829859713884
Santo António,2020,8,115.89901442722869
Arroios,2020,8,100.99491178763928
Santa Maria Maior,2020,8,77.97948898886929
Campo de Ourique,2020,8,86.27767836493004
Alcântara,2020,8,54.66086724885495
Ajuda,2020,8,74.5523586015148
Belém,2020,8,52.6780154976778
São Domingos de Benfica,2020,8,84.64163690265241
Campolide,2020,8,95.23846239516334
Carnide,2020,8,85.28230284931186
São Vicente,2020,8,68.61793370808338
Estrela,2020,8,69.385859957695
Lumiar,2020,9,76.55310228665351
Avenidas Novas,2020,9,89.6282679769612
Areeiro,2020,9,95.25099599984976
Beato,2020,9,51.83200817537624
Benfica,2020,9,49.246897769255895
Misericórdia,2020,9,54.10491571715296
Parque das Nações,2020,9,57.247929953285926
Olivais,2020,9,84.04219995863434
Marvila,2020,9,64.04317873844602
Santa Clara,2020,9,62.679442767258536
Alvalade,2020,9,81.64294467157846
Penha de França,2020,9,66.31114713777747
Santo António,2020,9,80.58972814772237
Arroios,2020,9,79.81711015095082
Santa Maria Maior,2020,9,57.129556356181396
Campo de Ourique,2020,9,68.03218988225188
Alcântara,2020,9,45.61566459201325
Ajuda,2020,9,59.849502615085626
Belém,2020,9,44.106208272644125
São Domingos de Benfica,2020,9,71.63052668300458
Campolide,2020,9,71.77447300065904
Carnide,2020,9,75.33516108376153
São Vicente,2020,9,58.30667020092358
Estrela,2020,9,57.02583482592446
Lumiar,2020,10,95.18463519628396
Avenidas Novas,2020,10,117.45757197016454
Areeiro,2020,10,121.21726178682766
Beato,2020,10,64.5964085347763
Benfica,2020,10,60.47469389078812
Misericórdia,2020,10,71.74619108027302
Parque das Nações,2020,10,78.78527823641862
Olivais,2020,10,98.55172705163525
Marvila,2020,10,82.74760134590665
Santa Clara,2020,10,72.08735186263942
Alvalade,2020,10,97.35088601406696
Penha de França,2020,10,82.35652766673856
Santo António,2020,10,119.27771086384428
Arroios,2020,10,106.49769200051477
Santa Maria Maior,2020,10,83.17719977441953
Campo de Ourique,2020,10,100.70370473994411
Alcântara,2020,10,59.354622480252374
Ajuda,2020,10,81.67094738563794
Belém,2020,10,56.08679475324498
São Domingos de Benfica,2020,10,93.08752838843797
Campolide,2020,10,102.28381547579336
Carnide,2020,10,94.64412765638804
São Vicente,2020,10,73.108656364966
Estrela,2020,10,78.37004548413411
Lumiar,2020,11,87.8741075994967
Avenidas Novas,2020,11,102.57535900240586
Areeiro,2020,11,100.72949281252349
Beato,2020,11,52.80415135869918
Benfica,2020,11,53.933777237345254
Misericórdia,2020,11,71.06688960426642
Parque das Nações,2020,11,75.84422844552701
Olivais,2020,11,86.10985529778652
Marvila,2020,11,71.39905607109199
Santa Clara,2020,11,64.57190566309954
Alvalade,2020,11,87.09658489913087
Penha de França,2020,11,71.35424532814999
Santo António,2020,11,106.30902373837945
Arroios,2020,11,91.51168982217477
Santa Maria Maior,2020,11,84.81082449034326
Campo de Ourique,2020,11,80.79176930907234
Alcântara,2020,11,48.398945243953264
Ajuda,2020,11,66.70810431314428
Belém,2020,11,47.735539151535015
São Domingos de Benfica,2020,11,80.99073549232543
Campolide,2020,11,83.92585588508608
Carnide,2020,11,82.2134211192891
São Vicente,2020,11,71.1266198934805
Estrela,2020,11,68.13074876362937
Lumiar,2020,12,91.41393393334116
Avenidas Novas,2020,12,107.68644295667141
Areeiro,2020,12,104.33027263347921
Beato,2020,12,52.072010665792504
Benfica,2020,12,59.61262158584096
Misericórdia,2020,12,74.53905484858
Parque das Nações,2020,12,74.78162170788542
Olivais,2020,12,95.44115892989173
Marvila,2020,12,75.42628130198119
Santa Clara,2020,12,70.0988231498742
Alvalade,2020,12,91.3532227513717
