Freguesia,AnoMes,Stock_12M_ALV_Nova_Construcao_Area,Stock_12M_ALV_Reabilitacao_Area,Stock_12M_ALV_Nova_Construcao_Count,Stock_12M_ALV_Reabilitacao_Count,Stock_12M_ALV_Demolicao_Area,Stock_12M_ALV_Demolicao_Count,Racio_Gentrificacao_ALV_Area,Racio_Gentrificacao_ALV_Count
Estrela,2022-07,577.447265625,23026.4267578125,3.0,58.0,0.0,0.0,39.876234837247644,19.332688910369654
Estrela,2022-08,245.19384765625,20980.65185546875,2.0,53.0,0.0,0.0,85.5675764268154,26.498675066246683
Estrela,2022-09,245.19384765625,20518.13623046875,2.0,54.0,0.0,0.0,83.6812508081732,26.998650067496623
Estrela,2022-10,245.19384765625,18186.021484375,2.0,42.0,0.0,0.0,74.16994447950616,20.998950052497374
Estrela,2022-11,245.19384765625,16236.63720703125,2.0,38.0,0.0,0.0,66.21956766157305,18.999050047497622
Estrela,2022-12,245.19384765625,14026.5048828125,2.0,35.0,0.0,0.0,57.205754941704264,17.49912504374781
Estrela,2023-01,245.19384765625,12893.18359375,2.0,32.0,0.0,0.0,52.58361275632144,15.999200039997998
Estrela,2023-02,0.0,11477.62451171875,0.0,27.0,0.0,0.0,114776245.1171875,270000.0
Estrela,2023-03,0.0,9929.95166015625,0.0,20.0,0.0,0.0,99299516.6015625,200000.0
Estrela,2023-04,0.0,7608.2685546875,0.0,15.0,0.0,0.0,76082685.546875,150000.0
Estrela,2023-05,0.0,6394.41845703125,0.0,12.0,0.0,0.0,63944184.5703125,120000.0
Estrela,2023-06,0.0,4795.45849609375,0.0,10.0,0.0,0.0,47954584.9609375,100000.0
Estrela,2023-07,0.0,3590.52392578125,0.0,7.0,0.0,0.0,35905239.2578125,70000.0
Estrela,2023-08,0.0,2127.20263671875,0.0,5.0,0.0,0.0,21272026.3671875,50000.0
Estrela,2023-09,0.0,1146.884765625,0.0,2.0,0.0,0.0,11468847.65625,20000.0
Estrela,2023-10,0.0,1146.884765625,0.0,2.0,0.0,0.0,11468847.65625,20000.0
Estrela,2023-11,0.0,1146.884765625,0.0,2.0,0.0,0.0,11468847.65625,20000.0
Estrela,2023-12,0.0,1146.884765625,0.0,2.0,0.0,0.0,11468847.65625,20000.0
Estrela,2024-01,0.0,1146.884765625,0.0,2.0,0.0,0.0,11468847.65625,20000.0
