Freguesia,AnoMes,Stock_12M_PED_Nova_Construcao_Area,Stock_12M_PED_Reabilitacao_Area,Stock_12M_PED_Nova_Construcao_Count,Stock_12M_PED_Reabilitacao_Count,Stock_12M_PED_Demolicao_Area,Stock_12M_PED_Demolicao_Count,Racio_Gentrificacao_PED_Area,Racio_Gentrificacao_PED_Count
Campolide,2018-03,3619.67529296875,29843.10498046875,5.0,56.0,0.0,0.0,8.244690957216559,11.199776004479912
Campolide,2018-04,13363.3818359375,32284.1484375,6.0,60.0,0.0,0.0,2.415866626596954,9.999833336111065
Campolide,2018-05,14637.962890625,30235.87548828125,6.0,54.0,0.0,0.0,2.0655794462416703,8.999850002499958
Campolide,2018-06,15738.27587890625,31165.90576171875,7.0,58.0,0.0,0.0,1.9802617391822266,8.285595920058284
Campolide,2018-07,16596.66748046875,30138.005859375,11.0,59.0,0.0,0.0,1.815907061658687,5.363587603749057
Campolide,2018-08,16596.66748046875,29507.8583984375,11.0,55.0,183.7021484375,1.0,1.7779387491717231,4.999954545867765
Campolide,2018-09,16719.21728515625,28672.5458984375,12.0,55.0,183.7021484375,1.0,1.714945456950259,4.5832951392071735
Campolide,2018-10,16807.5107421875,28788.46484375,13.0,52.0,183.7021484375,1.0,1.7128333346952151,3.9999692310059154
Campolide,2018-11,16807.5107421875,25157.23095703125,13.0,53.0,183.7021484375,1.0,1.4967850500435573,4.076891716217568
Campolide,2018-12,16807.5107421875,25388.0419921875,13.0,53.0,183.7021484375,1.0,1.5105176626429735,4.076891716217568
Campolide,2019-01,16020.55517578125,26389.54833984375,12.0,55.0,183.7021484375,1.0,1.647230566329846,4.5832951392071735
Campolide,2019-02,16280.41748046875,35000.566406250044,13.0,55.0,183.7021484375,1.0,2.1498567977911964,4.230736686640872
Campolide,2019-03,16280.41748046875,27670.369140625047,13.0,48.0,183.7021484375,1.0,1.6996105292668025,3.6922792901593064
Campolide,2019-04,4225.36279296875,34615.10351562505,10.0,49.0,183.7021484375,1.0,8.192220264258626,4.899951000489995
Campolide,2019-05,4240.640625,35142.8647460938,10.0,48.0,183.7021484375,1.0,8.287159187741329,4.799952000479995
Campolide,2019-06,3140.32763671875,35212.02832031255,9.0,48.0,183.7021484375,1.0,11.212851419484235,5.333274074732503
