date,Year,Month,parish,price_m2,imputed_flag
2020-11-01,2020,11,Alvalade,13.2,0
2020-11-01,2020,11,Areeiro,12.2,0
2020-11-01,2020,11,Arroios,13.8,0
2020-11-01,2020,11,Avenidas Novas,14.3,0
2020-11-01,2020,11,Belém,14.2,0
2020-11-01,2020,11,Benfica,11.8,0
2020-11-01,2020,11,Campo de Ourique,15.0,0
2020-11-01,2020,11,Campolide,14.0,0
2020-11-01,2020,11,Estrela,14.4,0
2020-11-01,2020,11,Lumiar,11.6,0
2020-11-01,2020,11,Misericórdia,16.2,0
2020-11-01,2020,11,Parque das Nações,14.3,0
2020-11-01,2020,11,Penha de França,12.4,0
2020-11-01,2020,11,Santa Maria Maior,16.2,0
2020-11-01,2020,11,Santo António,16.1,0
2020-11-01,2020,11,São Domingos de Benfica,12.5,0
2020-11-01,2020,11,São Vicente,13.5,0
2020-12-01,2020,12,Alvalade,13.1,0
2020-12-01,2020,12,Areeiro,12.3,0
2020-12-01,2020,12,Arroios,13.5,0
2020-12-01,2020,12,Avenidas Novas,14.2,0
2020-12-01,2020,12,Belém,13.9,0
2020-12-01,2020,12,Benfica,11.9,0
2020-12-01,2020,12,Campo de Ourique,15.0,0
2020-12-01,2020,12,Campolide,13.9,0
2020-12-01,2020,12,Estrela,14.3,0
2020-12-01,2020,12,Lumiar,11.3,0
2020-12-01,2020,12,Misericórdia,16.2,0
2020-12-01,2020,12,Parque das Nações,14.1,0
2020-12-01,2020,12,Penha de França,12.1,0
2020-12-01,2020,12,Santa Maria Maior,16.1,0
2020-12-01,2020,12,Santo António,16.4,0
2020-12-01,2020,12,São Domingos de Benfica,12.4,0
2020-12-01,2020,12,São Vicente,13.9,0
2021-01-01,2021,1,Alvalade,12.9,0
2021-01-01,2021,1,Areeiro,12.1,0
2021-01-01,2021,1,Arroios,13.3,0
2021-01-01,2021,1,Avenidas Novas,14.1,0
2021-01-01,2021,1,Belém,13.8,0
2021-01-01,2021,1,Benfica,12.1,0
2021-01-01,2021,1,Campo de Ourique,15.0,0
2021-01-01,2021,1,Campolide,13.6,0
2021-01-01,2021,1,Estrela,14.2,0
2021-01-01,2021,1,Lumiar,11.2,0
2021-01-01,2021,1,Misericórdia,15.9,0
2021-01-01,2021,1,Parque das Nações,13.8,0
2021-01-01,2021,1,Penha de França,12.1,0
2021-01-01,2021,1,Santa Maria Maior,16.1,0
2021-01-01,2021,1,Santo António,16.6,0
2021-01-01,2021,1,São Domingos de Benfica,12.0,0
2021-01-01,2021,1,São Vicente,14.3,0
2021-02-01,2021,2,Alvalade,13.1,0
2021-02-01,2021,2,Areeiro,11.9,0
2021-02-01,2021,2,Arroios,13.5,0
2021-02-01,2021,2,Avenidas Novas,14.2,0
2021-02-01,2021,2,Belém,13.4,0
2021-02-01,2021,2,Benfica,11.7,0
2021-02-01,2021,2,Campo de Ourique,14.8,0
2021-02-01,2021,2,Campolide,13.2,0
2021-02-01,2021,2,Estrela,14.2,0
2021-02-01,2021,2,Lumiar,11.2,0
2021-02-01,2021,2,Misericórdia,15.9,0
2021-02-01,2021,2,Parque das Nações,13.5,0
2021-02-01,2021,2,Penha de França,12.3,0
2021-02-01,2021,2,Santa Maria Maior,16.1,0
2021-02-01,2021,2,Santo António,16.3,0
2021-02-01,2021,2,São Domingos de Benfica,12.0,0
2021-02-01,2021,2,São Vicente,14.2,0
2021-03-01,2021,3,Alvalade,13.1,0
2021-03-01,2021,3,Areeiro,11.7,0
2021-03-01,2021,3,Arroios,13.6,0
2021-03-01,2021,3,Avenidas Novas,14.1,0
2021-03-01,2021,3,Belém,13.3,0
2021-03-01,2021,3,Benfica,11.4,0
2021-03-01,2021,3,Campo de Ourique,14.5,0
2021-03-01,2021,3,Campolide,13.2,0
2021-03-01,2021,3,Estrela,14.2,0
2021-03-01,2021,3,Lumiar,11.2,0
2021-03-01,2021,3,Misericórdia,15.8,0
2021-03-01,2021,3,Parque das Nações,13.3,0
2021-03-01,2021,3,Penha de França,12.1,0
2021-03-01,2021,3,Santa Maria Maior,16.0,0
2021-03-01,2021,3,Santo António,16.2,0
2021-03-01,2021,3,São Domingos de Benfica,11.9,0
2021-03-01,2021,3,São Vicente,14.2,0
2021-04-01,2021,4,Alvalade,13.2,0
2021-04-01,2021,4,Areeiro,11.7,0
2021-04-01,2021,4,Arroios,13.3,0
2021-04-01,2021,4,Avenidas Novas,13.9,0
2021-04-01,2021,4,Belém,13.1,0
2021-04-01,2021,4,Benfica,11.4,0
2021-04-01,2021,4,Campo de Ourique,14.4,0
2021-04-01,2021,4,Campolide,13.0,0
2021-04-01,2021,4,Estrela,14.3,0
